varied_param,correlation_search_space_dimension,correlation_search_space_resolution,correlation_search_space_smear_deviation,distance_variance_penalty,angle_variance_penalty,coarse_search_angle_offset,coarse_angle_resolution,minimum_angle_penalty,minimum_distance_penalty,max_laser_range,metric_type,sub_metric,stat,value
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,num associated poses,std_dev,0.8944271909999159
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,num associated poses,median,28.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,num associated poses,min,27.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,num associated poses,max,29.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,num gt poses,mean,172.6
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,num gt poses,std_dev,2.416609194718914
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,num gt poses,median,171.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,num gt poses,min,170.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,num gt poses,max,176.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),mean,11.5434968
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),std_dev,0.12459738037759852
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),median,11.526873
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),min,11.410401
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),max,11.728593
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,total rotation (rad),mean,9.4786228
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,total rotation (rad),std_dev,0.45954223571088615
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,total rotation (rad),median,9.529943
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,total rotation (rad),min,8.83622
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,total rotation (rad),max,10.186428
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,duration (s),mean,23.6708
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,duration (s),std_dev,0.3336263778540307
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,duration (s),median,23.497
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,duration (s),min,23.248999999999995
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,traj,duration (s),max,24.092999999999996
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,completion,successes,count,5.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,completion,failures,count,0.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,completion,errors,count,0.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,completion,data or metrics missing,count,0.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,latency,latency,mean,0.003285714285714286
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,latency,latency,std_dev,0.0021885602386882905
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,latency,latency,median,0.003
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,latency,latency,min,0.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,latency,latency,max,0.011000000000000001
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,trace,mean,0.005539736111111111
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,trace,std_dev,0.001619309690827267
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,trace,median,0.0050475
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,trace,min,0.002445
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,trace,max,0.010078
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,trace,rmse,0.00577155438816577
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,det,mean,3.7123371958333315e-10
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,det,std_dev,3.2066781289034934e-10
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,det,median,2.5584904199999985e-10
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,det,min,5.48411840000001e-11
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,det,max,1.8481662859999982e-09
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.1237436867076458,0.0175,0.9,0.5,5.0,cov,det,rmse,4.905530764143233e-10
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,mean,0.08928280784457758
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,std_dev,0.06387252678416395
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,median,0.06515783334474706
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,min,5.421010862427522e-20
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,max,0.31176147989786374
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,APE,rmse,0.10977759085717587
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,mean,0.05751800015141055
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,std_dev,0.03611973460539427
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,median,0.04751872326390198
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,min,0.009339914440796937
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,max,0.202844790065996
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,RPE,rmse,0.0679187424013562
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num associated poses,mean,29.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num associated poses,std_dev,2.756809750418044
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num associated poses,median,27.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num associated poses,min,27.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num associated poses,max,34.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num gt poses,mean,181.4
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num gt poses,std_dev,13.54400236266961
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num gt poses,median,175.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num gt poses,min,170.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,num gt poses,max,207.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),mean,11.8008898
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),std_dev,0.5335212227289182
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),median,11.520534
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),min,11.382607
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,odom accum path length (m),max,12.842611
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,total rotation (rad),mean,10.494087400000002
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,total rotation (rad),std_dev,1.8609614949270281
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,total rotation (rad),median,9.448753
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,total rotation (rad),min,8.819461
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,total rotation (rad),max,13.50555
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,duration (s),mean,24.9874
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,duration (s),std_dev,1.875371493864614
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,duration (s),median,24.14
